
2024/06/01 (20:56:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (20:56:09) | ===> btop++ v.1.3.2
2024/06/01 (20:56:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (20:56:13) | ===> btop++ v.1.3.2
2024/06/01 (20:56:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (20:56:33) | ===> btop++ v.1.3.2
2024/06/01 (20:56:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (20:58:40) | ===> btop++ v.1.3.2
2024/06/01 (20:58:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (20:59:00) | ===> btop++ v.1.3.2
2024/06/01 (20:59:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (21:57:51) | ===> btop++ v.1.3.2
2024/06/01 (21:57:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (22:54:42) | ===> btop++ v.1.3.2
2024/06/01 (22:54:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (00:53:39) | ===> btop++ v.1.3.2
2024/06/02 (00:53:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (01:02:15) | ===> btop++ v.1.3.2
2024/06/02 (01:02:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (01:03:09) | ===> btop++ v.1.3.2
2024/06/02 (01:03:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (14:41:46) | ===> btop++ v.1.3.2
2024/06/02 (14:41:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (14:42:08) | ===> btop++ v.1.3.2
2024/06/02 (14:42:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (15:29:03) | ===> btop++ v.1.3.2
2024/06/02 (15:29:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (15:33:21) | ===> btop++ v.1.3.2
2024/06/02 (15:33:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (15:34:36) | ===> btop++ v.1.3.2
2024/06/02 (15:34:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (15:34:52) | ===> btop++ v.1.3.2
2024/06/02 (15:34:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (16:20:38) | ===> btop++ v.1.3.2
2024/06/02 (16:20:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (16:37:52) | ===> btop++ v.1.3.2
2024/06/02 (16:37:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (16:38:12) | ===> btop++ v.1.3.2
2024/06/02 (16:38:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (16:51:52) | ===> btop++ v.1.3.2
2024/06/02 (16:51:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (16:54:30) | ===> btop++ v.1.3.2
2024/06/02 (16:54:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (16:56:02) | ===> btop++ v.1.3.2
2024/06/02 (16:56:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (16:56:30) | ===> btop++ v.1.3.2
2024/06/02 (16:56:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (17:56:56) | ===> btop++ v.1.3.2
2024/06/02 (17:56:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (18:04:18) | ===> btop++ v.1.3.2
2024/06/02 (18:04:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (18:07:25) | ===> btop++ v.1.3.2
2024/06/02 (18:07:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (18:15:28) | ===> btop++ v.1.3.2
2024/06/02 (18:15:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (19:36:49) | ===> btop++ v.1.3.2
2024/06/02 (19:36:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (19:37:07) | ===> btop++ v.1.3.2
2024/06/02 (19:37:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (19:38:55) | ===> btop++ v.1.3.2
2024/06/02 (19:38:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (20:59:49) | ===> btop++ v.1.3.2
2024/06/02 (20:59:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/02 (21:00:05) | ===> btop++ v.1.3.2
2024/06/02 (21:00:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

